Lines_of_Code,Cyclomatic_Complexity,Num_Functions,Code_Churn,Comment_Density,Num_Bugs,Has_Unit_Tests,Code_Owner_Experience,Quality_Label
8329.0,42,76,103.4911133750992,0.765704134854671,6,0,4,0
5686.0,5,184,108.67898504925152,0.3208921162514917,4,1,2,1
,44,179,81.3502899797844,0.88313357624426,2,1,4,0
6558.0,35,63,0.8255641521635226,0.6861154909829329,3,0,3,0
9600.0,44,179,122.19450900250982,0.6784255185010588,2,0,7,2
6225.0,27,60,216.7410845673424,0.1876305130677279,3,1,5,1
3023.0,1,17,149.96777058961106,0.4775220128522814,2,1,7,1
2808.0,34,176,197.9093378962245,,2,0,2,1
4271.0,43,39,144.83981804526485,0.3646326595699991,3,0,4,1
8522.0,32,123,92.40162529801994,0.8928771506501191,3,1,6,1
2850.0,44,119,130.0791167810389,0.8539029473600995,2,1,5,0
,39,161,153.49464404255656,0.5442588211082771,1,1,2,0
8031.0,33,60,19.967303215231,0.4060280823797034,2,1,7,0
2904.0,31,137,122.24107734879593,0.82138804480508,7,1,2,0
5544.0,13,199,95.07836145004448,0.2772023027871149,3,1,9,2
941.0,45,57,173.8722341770402,0.1643646835842694,1,0,7,2
5675.0,2,105,118.61625830464536,0.1411394374647529,4,0,3,1
7610.0,30,124,-23.015220315555226,0.1348149348082002,2,0,6,2
,10,64,121.99431023822422,0.5399997908231606,1,1,5,0
3634.0,23,109,-3.0925776839269616,0.3297822724894241,5,1,9,0
7957.0,33,138,163.7054208179796,0.7213376092257527,2,0,3,0
707.0,39,180,61.605589989603374,0.6885024166364548,0,0,2,0
7494.0,45,110,43.4627100899064,0.5878180064296225,1,1,2,0
4718.0,29,84,61.44752842440421,0.4175589532851667,3,0,4,1
4060.0,30,167,55.316287961108216,0.8654106204871572,1,0,1,1
4357.0,34,150,92.2144919547264,0.7387324779700482,2,1,9,0
5712.0,39,15,56.97460849198495,0.3443735116284927,2,0,3,1
301.0,17,55,84.95875173458356,0.551519796082159,4,0,5,2
6659.0,22,125,22.88602320240749,0.2406440879418369,3,0,2,2
5231.0,5,27,87.4177555942021,0.3958986619917165,2,1,8,0
,11,51,171.12936703513952,0.9974261645771804,1,1,3,1
851.0,22,79,77.57071237153252,0.3014597982404764,1,0,5,0
7645.0,32,191,131.20733840836863,0.7284721201463247,2,0,7,1
5444.0,24,189,37.18545139937041,0.3145767811993255,4,1,2,0
1305.0,11,97,128.9848033020888,0.9443210851052304,1,1,3,0
,11,131,156.87921146971854,0.3791195604913308,4,1,8,0
3987.0,17,60,171.26059916071398,0.4120201671820384,5,1,8,2
1430.0,32,159,110.03738503162178,0.6344737957595685,6,1,3,1
8722.0,19,77,133.5721385551437,0.6293005940034413,3,0,7,1
7619.0,27,167,35.97405767991421,0.6211687508174618,5,1,2,2
4783.0,32,187,80.82950686623681,0.6159292015656167,1,0,9,2
2374.0,25,141,59.98581625192146,0.3809682043481878,3,0,8,1
,28,22,116.42264112464858,0.4909692010046875,3,1,9,1
3465.0,40,48,73.58923899590225,0.6340900988268793,4,1,9,0
1363.0,27,153,134.33939739896286,0.7041431113004042,1,1,7,0
4336.0,14,60,223.4295164556527,0.3278161121712354,1,0,4,1
,42,180,131.0787379570856,0.7313275555326467,0,1,5,1
3833.0,39,104,170.58289916703166,0.930948625101373,1,0,7,0
1765.0,2,5,40.772371968097495,0.7821349330094098,5,1,5,2
960.0,17,159,95.75149333359948,0.1758095225404495,5,0,8,1
944.0,1,49,110.84277209689238,0.522213598081019,2,0,5,1
236.0,45,67,103.2527848897288,0.491737451985167,3,1,5,2
5847.0,32,62,,0.4028529808164371,1,1,5,2
6594.0,19,172,62.805697652846426,0.5421881259127029,4,0,4,2
5886.0,14,67,116.15620138249382,0.4956703960598909,6,0,7,1
9445.0,31,42,-21.423387584778283,0.1055534294506243,6,1,2,1
9270.0,18,33,121.23365526817597,0.3128997502828629,2,0,4,1
8860.0,14,44,125.29579279572756,0.2924039307541126,1,0,3,0
6300.0,47,151,97.38742683403572,0.4143335871185196,0,1,8,2
8425.0,14,92,119.76507584890956,0.2570110675518745,2,1,7,2
2161.0,24,60,71.7755304127576,0.1610212993403608,2,0,3,0
4478.0,5,48,38.92402282151588,0.2769515695315115,6,0,4,0
3830.0,16,197,50.572981465939456,0.8687681077775185,6,1,4,0
8418.0,5,104,57.371699059831286,,7,1,7,0
6222.0,13,145,35.38241955164409,0.4978865776831703,2,1,8,2
1895.0,16,162,33.408881681093845,0.8900335305808871,3,0,4,0
4413.0,15,53,58.49679173042956,0.3093990563087055,6,1,8,0
8287.0,31,119,82.19484091405944,0.6257882270793086,2,0,1,2
4940.0,5,79,106.5938251129482,0.2286323879917698,6,1,9,2
3826.0,21,195,38.80461730298565,0.8500606205944508,1,1,7,2
359.0,30,167,53.30706763427619,0.2175234017426672,3,0,4,2
1341.0,23,143,69.28675171061842,0.1286741430805988,4,1,8,1
1943.0,38,53,121.84393857206663,0.3460998070613758,3,0,2,1
5877.0,29,111,40.24340688522973,0.910841580412321,1,1,8,1
9804.0,13,115,74.13677347762774,0.2165113737337989,6,1,6,1
2380.0,32,119,148.6202772704254,0.3976032418259857,3,1,7,2
9247.0,48,172,60.26887453871779,0.3847734937109734,4,1,7,1
7896.0,42,25,37.63605349890202,0.8214816466872019,6,1,2,0
4667.0,27,51,95.63903686317602,0.4793728598020221,2,0,2,0
9400.0,34,7,58.43950401682732,0.650410344653215,2,0,4,0
9834.0,45,162,-38.09723349928478,0.463944705249588,2,0,6,1
8672.0,49,131,109.9522883970034,0.5963113136231821,1,1,4,1
1355.0,33,71,143.5118545866794,0.1561966516156885,4,1,6,0
6562.0,4,66,98.88206814967867,0.4366264943261214,2,1,5,1
1758.0,18,169,152.15991578145662,0.8695952539659584,4,1,6,2
2748.0,6,154,132.20129490550528,0.7219608068640175,0,0,9,1
3471.0,28,35,57.25501658948824,0.983646139731958,5,0,6,0
3529.0,44,50,202.47534396435177,0.8091275836385289,0,1,6,0
9872.0,27,49,116.05717909488185,0.5063587434025967,0,0,8,1
4960.0,26,18,121.39014540553192,0.7086524119295885,2,1,5,1
7720.0,20,125,50.32661907240856,0.7983223081194601,8,1,5,0
3032.0,13,144,22.707573227120776,0.342715293929207,3,1,1,0
5186.0,28,123,45.8303030792667,0.1540161015540258,4,0,6,1
9878.0,34,195,146.0050606923072,0.4652625411986935,1,1,1,1
6749.0,49,81,185.5249188267128,0.2302058458922637,1,0,8,0
8219.0,23,92,114.43755355926584,0.3495170077862517,2,0,9,0
5083.0,10,170,104.6262487169559,0.9521609459267198,3,1,6,0
2621.0,30,121,148.36198159673992,0.8623743339002667,4,0,9,0
2802.0,22,179,169.05842173485877,0.6332174511108942,4,1,2,0
118.0,5,128,27.396698609476687,0.461131035879135,2,0,9,0
2669.0,44,58,181.3966986275828,0.3378973241870663,6,1,4,0
883.0,9,187,80.975342386404,0.6143124517468,4,1,3,1
9998.0,43,52,154.19897569794713,0.5798442247056033,4,1,1,2
514.0,4,105,46.61841471076959,0.8027027275433797,4,1,1,2
8655.0,42,19,151.6750990301015,0.9352181698876516,0,1,8,1
1203.0,1,117,28.31524387046936,0.396043571197017,8,0,2,2
4991.0,34,20,156.06565101712528,0.2856673996811147,3,1,1,1
5409.0,41,175,132.167316355061,0.4625196543511346,4,1,2,1
1271.0,26,139,21.39785561411816,0.4937871721718837,5,0,3,1
9990.0,18,47,163.7706884973702,0.1358832605359262,6,1,4,1
8734.0,16,32,51.20106454722291,0.8755268789795704,5,1,9,2
6508.0,23,70,157.14577976182056,0.9960331048007458,0,0,7,1
4845.0,46,102,107.22391457396932,0.9308878234403702,4,1,5,0
4661.0,36,64,37.686450364463866,0.8745984815382193,1,0,5,1
8272.0,26,132,49.33903402785906,0.993340273113587,1,0,6,2
6736.0,2,135,295.1399358810962,0.9170275887773977,2,0,1,2
2689.0,44,133,215.3673507953322,0.7195308586689855,2,1,6,2
9795.0,5,163,89.46609050185205,0.2500809838949509,3,0,6,2
5822.0,29,60,121.23191440737696,0.240715111003181,1,1,5,0
822.0,4,88,160.15169334548793,,4,0,9,1
941.0,47,178,35.406143217234074,0.4706477804688548,1,0,5,0
2447.0,35,36,134.49680896157685,,4,0,9,1
745.0,22,85,149.35840966537344,0.5412663503190195,2,1,7,1
8315.0,49,22,118.09223717381138,0.4296895351404242,4,0,3,0
3372.0,8,39,169.54727740393133,,3,1,9,0
106.0,44,108,107.632197875677,0.1465779781815293,10,0,7,2
3801.0,21,104,155.26484386777796,0.4592612290812465,2,0,4,1
9563.0,8,27,111.81501434711036,0.1899328421653592,2,1,9,1
5730.0,5,145,23.31511941265127,0.1931933554641845,4,0,6,1
2656.0,21,146,146.9480913995655,0.4558135824735816,4,0,9,1
3054.0,27,169,,,6,1,4,1
7487.0,38,9,92.43987075844431,0.2680145982770636,1,1,2,1
6888.0,5,154,33.045362283388414,0.7161721176343933,3,0,9,2
9891.0,21,32,143.4037279324023,0.4768228006145297,2,0,4,1
9958.0,8,136,115.82384124222718,0.1827302839648444,4,0,2,2
9353.0,22,54,114.85063065732146,0.6733307121064437,4,1,7,1
4761.0,18,106,109.45097334825364,0.4212503368256249,3,1,7,1
3901.0,4,33,150.38552022966618,0.1470893293686396,4,0,5,0
5733.0,4,41,114.39681337897603,0.953183421700473,1,1,5,1
7513.0,37,167,,0.6140772613951027,2,1,8,0
1263.0,15,152,19.236966146721684,0.5299483321275736,3,0,6,0
1381.0,38,167,76.92367497897501,0.8732236553684511,4,1,1,0
8287.0,27,134,145.47794172410775,0.9430663863823524,2,1,4,2
9500.0,21,120,83.26192321885809,0.2982896813495902,4,1,1,0
402.0,48,62,145.3924669229027,0.8291300515075244,4,1,5,0
9047.0,46,150,29.28758992849141,0.8479719340968386,4,1,5,0
4359.0,46,110,,0.1489625152098391,2,0,4,1
,48,60,46.51494601795759,0.7407497036604455,2,1,9,2
9518.0,4,126,106.7687833993408,0.1566710936196193,9,1,8,2
8280.0,11,196,189.6006682451918,0.6352059217509106,3,1,3,2
7675.0,19,107,212.21501456005004,0.7023130994248066,2,1,5,2
9525.0,19,127,152.87692701079678,0.4303528195158728,2,0,6,1
6078.0,27,184,2.1044746800647545,0.8927087469918922,3,0,5,0
9189.0,40,26,62.39594835227439,0.8204605362707251,1,1,8,1
6190.0,42,64,-51.942541684371776,0.9333637422592568,5,0,5,2
8254.0,28,142,,0.3834005739678836,2,1,8,1
8283.0,5,88,181.24405390240045,0.1193750200556297,2,0,3,1
5780.0,48,132,140.77536685514448,0.8303151402977968,3,1,5,2
6611.0,25,84,11.726624639950174,0.3006796203967967,3,1,4,0
3462.0,3,138,169.43612228930607,0.5204404365103501,3,0,6,1
9746.0,26,85,160.21397835092,0.8355890546776277,2,1,3,2
2112.0,10,10,177.15640923367718,0.2945216608077616,2,0,4,1
1200.0,24,90,155.45542562488694,0.3807178865076913,2,1,4,1
9107.0,29,86,73.69320811544299,0.4951719877040101,2,0,5,1
5204.0,45,160,7.254268816751662,0.3446423651488969,3,0,6,0
5715.0,7,46,158.54630990549578,0.5151892807025458,2,0,2,1
9612.0,44,78,138.82997325780033,0.108636980045074,3,0,8,1
,23,45,1.403439289093228,0.2909691754761945,2,1,4,0
7723.0,46,67,51.785087074187935,0.849298023696678,1,1,7,1
4687.0,27,26,53.189614710857,0.4721337626617007,1,0,7,1
9324.0,42,83,136.37355911101537,0.6727651909677457,2,1,2,0
6137.0,9,161,99.22498633225663,0.3090591348719881,2,1,7,2
1255.0,44,75,86.81590189008556,0.6848907980037995,3,1,1,1
9392.0,3,118,79.0260420846729,0.9999764808816312,2,0,2,2
1096.0,13,38,43.71662017270138,0.6357588754571245,2,0,5,2
9727.0,6,100,148.26909405244575,0.6655227063777179,3,1,8,2
5309.0,38,134,63.65552261840892,0.2003678420157977,2,1,7,0
2645.0,21,158,158.11881089018706,0.4630433244993861,4,0,3,0
3800.0,19,113,30.34809014184225,0.8746524086346006,1,1,9,1
6865.0,25,79,75.40141727134319,0.850844776292499,5,1,5,2
5084.0,39,23,198.24166279663172,0.5701591993251898,2,1,3,0
,4,129,111.73111559232454,0.9131087347639952,2,0,7,0
2418.0,22,24,75.47265714428875,0.2286433163851462,6,0,4,2
9030.0,5,165,68.59567061244391,0.6923704641953726,3,0,1,0
2619.0,1,120,56.53029734642623,0.3239952188519758,2,1,5,2
5527.0,17,98,122.68484865732653,0.681005264594713,1,1,8,0
4703.0,9,86,144.92982245521884,,6,1,4,2
8346.0,9,100,112.56486207330346,0.9492481855944448,4,0,7,0
2184.0,24,108,97.03912562110874,0.8076988356314434,0,0,8,0
999.0,10,8,130.0784354878549,0.2808654084063017,1,0,9,0
8815.0,20,164,29.77209476021549,0.6735489117148336,1,1,9,0
562.0,17,151,118.90410341089324,0.783231076483724,4,0,5,2
1601.0,13,135,121.7327176854619,0.2885012396464248,2,1,6,1
815.0,29,96,113.36765156216848,0.1839972769425794,6,1,7,1
5430.0,36,65,72.23852583026662,0.4166017894861299,5,0,2,0
7274.0,23,42,61.24784029591165,0.2221789070757088,1,1,9,1
3711.0,27,122,34.95855941388601,0.6091405345938063,2,1,1,0
9280.0,18,138,173.52907862096023,0.4817034186160736,4,0,6,1
311.0,18,60,97.21613435666556,0.5161819042908149,3,1,6,0
7456.0,9,172,78.81018587920683,,3,0,7,1
853.0,3,125,73.93850613149453,0.9838469313483412,2,0,2,1
3850.0,7,85,,0.813372099760998,6,0,6,0
3322.0,15,110,73.21480326622483,0.6665243454845656,3,1,6,1
535.0,30,124,160.56148357399195,0.4273350530314025,3,0,9,0
9527.0,9,73,129.08556358914973,,2,0,8,1
9070.0,41,87,141.42467045534517,0.2048748496468765,2,0,5,2
5029.0,27,46,147.96432035175437,0.7577805254854454,2,1,7,2
2060.0,36,103,209.99150668510407,0.4322835354177305,3,1,7,2
4372.0,18,134,101.38600910916382,0.4009936922583803,1,1,5,0
5913.0,31,32,78.60060342769805,0.9000805227317642,3,0,7,0
1824.0,17,121,121.85886373902264,0.536058001462394,1,0,3,0
8477.0,6,149,132.43383044579605,0.9096193516717987,5,0,7,2
1594.0,39,74,,0.8979746593619797,2,1,6,1
2079.0,25,111,55.301790729838,,3,0,6,0
5528.0,42,127,109.29983880628338,0.950826680590182,2,0,2,2
4153.0,42,73,127.22451664123432,,3,1,2,0
8537.0,38,43,117.36940871080358,0.9671555037224916,3,1,7,0
7260.0,38,139,8.118034878453528,0.5073534258394513,5,0,1,1
8675.0,31,164,20.49552502451334,,2,0,9,0
7309.0,29,8,135.83921406371883,0.735529930470868,1,0,3,0
384.0,40,153,81.38445830760466,0.5666454768920757,4,1,6,1
5183.0,9,164,211.2286291376165,,3,1,3,0
4094.0,1,86,167.05803662770353,0.9549263633492752,4,0,9,0
8591.0,16,101,36.59350246607895,0.9346163415969164,2,1,7,1
1000.0,38,146,,0.6888934452331782,3,1,1,0
1559.0,23,74,180.02884351027808,0.6919468110410727,5,0,4,0
3021.0,8,50,77.73631836606,0.3222448240526542,6,0,5,2
,47,152,95.69111896063728,0.8457611452463114,3,1,7,1
,12,190,72.59814757436018,0.6693429997018692,3,1,7,2
905.0,10,103,43.86717805389381,0.8436239127985873,2,1,5,1
7695.0,16,84,178.8488973534317,,2,1,1,0
2328.0,47,52,-29.49869137712585,0.3693880234284535,4,0,5,2
2021.0,43,11,66.27094133379263,0.2705332624577319,3,1,5,2
5072.0,24,44,78.87703320106743,0.1692692598008399,4,0,4,2
2487.0,39,63,107.85939778017466,,3,1,6,2
2096.0,8,40,38.01518733412329,0.3556462217578615,4,0,8,1
4925.0,11,176,167.7467193709179,,4,1,5,0
5382.0,41,112,8.205014849511883,0.1527908003953944,1,0,8,0
2603.0,26,35,8.93637512433368,0.4380967585050643,5,0,5,2
204.0,7,174,102.90265549550335,0.334497893832798,3,0,3,0
6962.0,15,48,35.65234588766705,0.4333006702010018,4,1,8,0
8730.0,15,175,110.3878976885377,0.1488550867809283,5,1,4,1
1621.0,48,47,62.99531517795722,0.7517632769501019,2,1,3,0
1451.0,3,179,,0.2050275998286759,6,1,3,0
2798.0,16,138,53.60656971041803,0.1129623637133379,2,0,6,0
3712.0,15,97,172.2275386143138,0.9516601912504,0,1,8,0
608.0,25,198,131.47037572353105,0.2735887441285449,6,0,5,2
5410.0,33,90,62.09523531593742,0.8452551686009147,4,0,1,1
6290.0,14,13,131.21232023163662,0.968023539781412,5,1,1,1
1374.0,24,15,107.30079713042258,0.5807090796118858,5,0,3,1
2922.0,11,84,139.27552627582875,0.5735063440427918,1,0,6,0
163.0,3,113,129.97218318991622,0.4306755204850687,4,1,2,2
4021.0,9,122,117.96434313901898,0.4830353782978553,2,1,1,1
959.0,6,22,103.23260270496073,0.5338678572580061,2,0,7,2
1647.0,31,157,145.22369942643277,0.2368849633485663,3,1,2,1
2176.0,16,101,158.5298295740065,0.4282630515463232,1,0,8,2
536.0,11,190,106.82835004494495,0.8344975983485007,0,1,2,0
6185.0,17,34,,0.2641583076233252,5,1,1,0
3757.0,49,119,146.8629106018713,0.7568679222587038,4,0,2,1
862.0,3,5,180.34635134590167,0.6864279402413717,2,1,2,1
835.0,19,195,171.60617269899143,0.1515679977543932,4,1,7,1
7314.0,24,101,151.4928422939583,0.1201859815939124,2,1,1,0
7684.0,47,117,79.29387787699606,0.4172756163205141,4,0,3,0
4194.0,42,83,34.35628405910897,0.722953249418657,3,0,5,1
6694.0,8,33,127.96485446962234,0.3973761346245954,2,1,7,1
4828.0,49,70,127.5863509059752,0.7009599705404445,0,0,6,0
9870.0,36,185,80.15289050083894,0.6989123287251834,3,0,8,1
3829.0,40,109,33.28759774583571,0.8258991603618419,5,0,1,1
7341.0,2,23,182.7896756377216,0.1895370532334603,1,1,7,1
1176.0,23,70,121.27969592229536,0.6194160020687173,3,1,9,0
1930.0,40,116,39.58769766541042,0.156247407615983,3,1,7,0
773.0,30,184,93.65102532959328,0.258352426246004,2,0,6,2
648.0,25,163,32.81575777345947,0.3929508125705283,2,0,9,2
9228.0,7,64,134.0892117274923,0.7366503163865193,3,1,4,2
995.0,28,121,192.504074128818,0.9764901775036732,4,1,6,2
,41,72,,0.4082687329473196,3,1,6,1
1013.0,17,97,95.37571265428576,0.5690300368624158,4,1,3,0
1276.0,32,162,86.18565819472518,0.3331500358801919,1,0,7,0
7373.0,1,145,88.78017398017505,0.7079406585486532,0,1,1,2
6796.0,27,147,61.20373393965385,0.4299272811554018,1,0,8,1
4965.0,44,152,169.10214299996184,0.5334365560944498,0,1,8,0
4406.0,36,166,109.7514000849374,0.6110315882655659,3,1,8,0
3373.0,49,152,103.16914544420057,0.717618096916549,2,0,9,1
6676.0,7,54,88.6973222273289,0.1540464951607779,2,1,4,1
1622.0,3,93,36.355177305987006,0.5994109844079344,3,1,6,2
6525.0,30,159,146.91910801012824,0.4880476880329923,3,0,7,2
7577.0,1,162,171.14793415949123,0.2203885778317004,1,0,2,1
2902.0,34,188,6.9266080518818285,0.2872330014982255,2,1,6,0
3222.0,38,197,135.47235984661998,0.8955010819901238,0,0,8,1
2556.0,43,103,143.1225376068865,0.8845984081902131,2,0,4,1
1749.0,36,187,164.21025928995837,0.1299972289813074,3,1,5,0
,33,117,160.2732610995263,0.720461342112627,6,1,8,0
1243.0,43,111,231.79013259953683,0.5987685818236187,0,1,3,2
8337.0,16,28,120.01303115415256,0.9458342588325236,3,0,6,1
3414.0,38,29,149.6339094888949,0.9172051399201742,7,0,1,2
4506.0,11,185,100.62161238052808,0.6216057215671258,3,1,4,1
2709.0,8,15,59.85825785029725,0.2250594291866532,0,1,6,1
7691.0,1,98,,0.5138335213023701,4,1,3,0
3219.0,14,64,149.6897000454899,0.7526479302361052,1,1,1,1
1500.0,30,179,117.08924859613684,0.9565629715808842,4,0,6,1
9883.0,21,157,16.98773836396333,0.4274464651773243,2,1,3,0
8299.0,21,29,27.552173934117548,0.8062043283581967,4,0,8,0
9275.0,34,149,138.364749939979,0.7150066779535513,1,0,7,0
3697.0,38,144,81.71314408792914,0.1704634994280359,2,1,7,1
5589.0,26,127,117.80466464605942,0.6021791652576591,6,0,8,0
3611.0,41,184,124.13456090073198,0.2651579501854473,2,0,7,1
3928.0,14,15,94.27915301362415,0.7151943629599881,5,0,5,2
665.0,40,14,87.19578747779744,0.6490763622465753,0,1,8,0
7751.0,35,85,93.48665194415352,0.9757432824704498,7,1,8,2
9192.0,42,192,129.57451212045177,0.9418443986123284,7,1,8,2
,18,58,123.99989751667373,0.108435550238993,4,1,6,0
6877.0,20,113,60.05127013614112,0.1720264871545296,2,1,2,0
213.0,9,67,99.25819877351744,0.7922208802866051,2,1,8,1
631.0,41,24,46.96465570006902,0.7170787656784692,3,0,1,0
9814.0,45,9,125.71778754568062,0.8208510386652023,1,0,9,2
3510.0,33,45,76.72288918362081,,0,0,9,2
9336.0,49,122,135.98860643246357,0.864390491886229,4,0,6,2
5939.0,4,67,87.97854069865097,,4,0,6,1
8324.0,4,188,157.20030128154838,0.3357176362069975,4,0,6,1
8424.0,48,36,166.65298914403107,0.1095469728264031,4,0,4,0
1826.0,16,31,122.21006700917144,0.8842276313376344,5,0,1,0
5170.0,47,72,81.63783602958084,0.5818094643161552,2,1,1,0
8317.0,26,109,53.13514038033022,0.9778438753767934,5,1,1,2
2748.0,6,180,148.0816045980189,0.7432132506105336,2,0,5,2
9553.0,37,11,96.6903293763831,0.1723754291408007,1,0,7,2
2165.0,22,178,102.40750045125448,0.6293720677619281,4,1,1,0
1033.0,42,107,80.57983529917206,0.1154120858410127,3,1,1,0
1150.0,39,116,,0.6020036687916389,2,1,6,2
9108.0,7,150,153.72415093037847,0.4151814967891727,1,0,2,0
6130.0,42,170,95.76427546828998,0.678966251246889,2,0,2,1
7216.0,30,107,6.887516337675436,0.5874167856216437,3,1,7,0
5143.0,10,197,,0.3352152910730395,1,0,9,2
9029.0,15,21,32.26530657780012,0.2461155481952416,6,0,8,0
6567.0,6,94,129.5189307946627,0.4642403377075746,6,1,2,1
3702.0,24,119,122.6501621726468,0.988152683364644,2,1,7,2
6978.0,2,90,175.4127319316749,0.4921287764943445,5,1,5,0
892.0,40,107,26.170782472581596,0.7739084240400624,3,0,4,0
6063.0,15,86,171.86040696100093,0.1512761730448336,2,1,4,0
9647.0,21,130,,0.4409791879756632,5,1,4,0
1485.0,18,42,31.65434145376726,0.6222907334791035,5,1,9,1
1160.0,5,96,191.3508755716275,0.776076861995634,6,0,7,0
9663.0,25,67,93.77704149460284,0.5755452915853541,0,0,7,0
8023.0,36,174,40.43826374394599,0.5637659912207031,0,0,4,2
4238.0,10,140,151.9791537622301,0.7875162213374521,2,1,9,1
1249.0,46,34,45.55467831848763,0.3819589455870102,3,0,8,2
7793.0,23,68,157.81105492455225,0.1815494687842533,5,0,4,1
7592.0,24,13,90.4021766453328,0.4124354239156651,2,1,6,0
6427.0,45,61,82.53884746433917,0.2430966119044912,0,0,4,1
3453.0,10,111,34.91794297313278,0.96934978372009,5,0,1,2
6069.0,6,191,47.82046641870825,0.6197603927290225,4,0,5,0
4728.0,13,99,108.023263627081,0.5019403881948568,2,0,3,2
3548.0,21,199,18.039966741790906,0.9208466903409106,1,0,1,2
5427.0,32,79,134.46126522102918,0.9103252486303928,5,0,2,1
9792.0,43,9,73.75930704936687,0.4741275511667886,3,0,2,0
5149.0,15,99,80.18055105892539,0.8872546260248293,4,0,8,2
168.0,2,8,129.1582435481737,0.157623339828711,4,1,4,2
3608.0,15,12,89.79636642826182,0.8971472307992922,3,1,3,1
400.0,17,174,161.52881312062047,0.3795251756998885,1,1,4,2
6897.0,20,167,-2.517762020857475,0.6086100559065591,1,1,1,0
2700.0,6,145,140.02261347902046,0.3427197249451519,4,1,1,0
,15,137,101.204447062833,0.9863196014524056,2,1,5,1
5005.0,17,44,,0.1646019850026522,3,1,7,2
4118.0,26,23,,0.502259758102586,2,0,9,1
3182.0,22,86,129.34118850620553,0.6588893393502051,4,0,7,1
